,indenização_count,revisão_count,tarifa_count,file,label
220,3,1,6,../data/VAC0720973_1.txt,tarifa
221,4,14,16,../data/VAC0675734_1.txt,tarifa
222,21,1,1,../data/VAC0971709_1.txt,indenização
223,0,40,1,../data/VAC0751252_1.txt,revisão
224,0,4,15,../data/VAC0867391_1.txt,tarifa
225,0,0,0,../data/VAC0935126_1.txt,
226,0,26,1,../data/VAC0874016_1.txt,revisão
227,0,1,9,../data/VAC0970302_1.txt,tarifa
228,1,1,14,../data/VAC0612333_1.txt,tarifa
229,0,0,0,../data/VAC0945952_1.txt,
230,6,0,0,../data/VAC0889723_1.txt,indenização
231,1,6,9,../data/VAC0999835_1.txt,tarifa
232,4,0,0,../data/VAC1070261_1.txt,indenização
233,12,0,0,../data/VAC0874894_1.txt,indenização
234,0,0,0,../data/VAC0493123_1.txt,
235,0,1,0,../data/VAC0755581_1.txt,revisão
236,9,23,4,../data/VAC0722537_1.txt,revisão
237,0,18,0,../data/VAC0860217_1.txt,revisão
238,19,0,0,../data/VAC0942080_1.txt,indenização
239,0,12,8,../data/VAC0883782_1.txt,revisão
240,0,0,0,../data/VAC0357776_1.txt,
241,0,0,0,../data/VAC0972942_1.txt,
242,0,0,0,../data/VAC0722541_1.txt,
243,0,4,12,../data/VAC0791992_1.txt,tarifa
244,0,11,7,../data/VAC0886742_1.txt,revisão
245,3,20,6,../data/VAC0544855_1.txt,revisão
246,1,1,0,../data/VAC0918690_1.txt,
247,2,0,0,../data/VAC0511288_1.txt,indenização
248,0,0,0,../data/VAC0765843_1.txt,
249,0,0,0,../data/VAC1011283_1.txt,
250,0,25,6,../data/VAC0633748_1.txt,revisão
251,0,0,0,../data/VAC1040187_1.txt,
252,7,0,2,../data/VAC0906913_1.txt,indenização
253,0,35,2,../data/VAC0588924_1.txt,revisão
254,0,20,2,../data/VAC0969353_1.txt,revisão
255,0,0,0,../data/VAC0574887_1.txt,
256,0,4,0,../data/VAC0959087_1.txt,revisão
257,2,1,1,../data/VAC0888770_1.txt,indenização
258,2,12,18,../data/VAC0956335_1.txt,tarifa
259,20,0,0,../data/VAC0990942_1.txt,indenização
260,24,1,0,../data/VAC0927951_1.txt,indenização
261,2,23,12,../data/VAC0943470_1.txt,revisão
262,9,0,0,../data/VAC0888548_1.txt,indenização
263,0,3,0,../data/VAC1033320_1.txt,revisão
264,6,0,0,../data/VAC0922038_1.txt,indenização
265,0,0,0,../data/VAC1020546_2.txt,
266,2,4,29,../data/VAC1006505_1.txt,tarifa
267,1,40,12,../data/VAC0621593_1.txt,revisão
268,0,0,0,../data/VAC0879618_1.txt,
269,1,1,4,../data/VAC0910037_1.txt,tarifa
270,0,28,18,../data/VAC0621519_1.txt,revisão
271,15,0,0,../data/VAC0855703_1.txt,indenização
272,0,1,0,../data/VAC0773650_1.txt,revisão
273,3,0,0,../data/VAC0989071_1.txt,indenização
274,0,7,4,../data/VAC0907093_1.txt,revisão
275,0,30,28,../data/VAC0441903_1.txt,revisão
276,1,4,0,../data/VAC0699420_1.txt,revisão
277,1,33,4,../data/VAC0917893_1.txt,revisão
278,12,1,0,../data/VAC1002685_1.txt,indenização
279,2,1,2,../data/VAC0820041_1.txt,
280,0,22,2,../data/VAC0296776_1.txt,revisão
281,0,24,0,../data/VAC0825962_1.txt,revisão
282,0,8,26,../data/VAC0867209_1.txt,tarifa
283,3,32,13,../data/VAC0626767_1.txt,revisão
284,0,0,0,../data/VAC0729393_1.txt,
285,0,0,0,../data/VAC0969689_1.txt,
286,0,0,0,../data/VAC1071080_1.txt,
287,2,0,0,../data/VAC1000220_2.txt,indenização
288,0,7,15,../data/VAC1020725_1.txt,tarifa
289,0,12,11,../data/VAC0966811_1.txt,revisão
290,10,0,0,../data/VAC0887257_1.txt,indenização
291,0,0,0,../data/VAC0925757_1.txt,
292,0,1,0,../data/VAC1015254_1.txt,revisão
293,1,12,36,../data/VAC0921223_1.txt,tarifa
294,0,12,18,../data/VAC0733899_1.txt,tarifa
295,4,0,0,../data/VAC0900704_1.txt,indenização
296,0,2,11,../data/VAC0916614_1.txt,tarifa
297,3,0,0,../data/VAC0942420_1.txt,indenização
298,1,0,6,../data/VAC0933119_1.txt,tarifa
299,0,30,10,../data/VAC0972977_1.txt,revisão
300,0,35,7,../data/VAC0910307_1.txt,revisão
301,0,0,0,../data/VAC0884802_1.txt,
302,2,0,0,../data/VAC0929581_1.txt,indenização
303,3,0,0,../data/VAC0948106_1.txt,indenização
304,3,0,0,../data/VAC0920558_1.txt,indenização
305,3,0,0,../data/VAC0425146_2.txt,indenização
306,0,20,6,../data/VAC0390057_1.txt,revisão
307,0,0,0,../data/VAC0609723_1.txt,
308,5,0,0,../data/VAC1050553_1.txt,indenização
309,0,7,0,../data/VAC1048548_1.txt,revisão
310,0,0,0,../data/VAC0849621_1.txt,
311,0,9,17,../data/VAC0527065_1.txt,tarifa
312,0,1,4,../data/VAC1067110_1.txt,tarifa
313,0,15,5,../data/VAC0887434_1.txt,revisão
314,0,0,0,../data/VAC0412645_1.txt,
315,9,2,0,../data/VAC1010856_1.txt,indenização
316,4,0,0,../data/VAC0931898_2.txt,indenização
317,0,38,1,../data/VAC0422616_1.txt,revisão
318,0,37,19,../data/VAC0495645_1.txt,revisão
319,0,41,41,../data/VAC0892519_1.txt,
320,6,0,0,../data/VAC0653395_1.txt,indenização
321,0,1,0,../data/VAC1003728_1.txt,revisão
322,2,41,25,../data/VAC0970446_1.txt,revisão
323,0,1,0,../data/VAC0674063_1.txt,revisão
324,0,1,0,../data/VAC0751874_1.txt,revisão
325,0,43,14,../data/VAC0951519_1.txt,revisão
326,2,3,1,../data/VAC0915850_1.txt,revisão
327,0,3,12,../data/VAC0936231_1.txt,tarifa
328,12,49,13,../data/VAC0279536_1.txt,revisão
329,13,0,0,../data/VAC0503480_1.txt,indenização
330,0,6,3,../data/VAC0845280_1.txt,revisão
331,19,2,0,../data/VAC0808719_1.txt,indenização
332,0,1,0,../data/VAC1009683_1.txt,revisão
333,0,0,6,../data/VAC0919953_1.txt,tarifa
334,0,8,12,../data/VAC1016730_1.txt,tarifa
335,0,0,8,../data/VAC0844687_1.txt,tarifa
336,0,17,1,../data/VAC1018529_1.txt,revisão
337,0,4,7,../data/VAC0908696_1.txt,tarifa
338,0,2,3,../data/VAC1014221_1.txt,tarifa
339,3,4,0,../data/VAC0899326_1.txt,revisão
340,1,1,0,../data/VAC0958048_2.txt,
341,0,22,0,../data/VAC0851394_1.txt,revisão
342,0,58,2,../data/VAC0973860_1.txt,revisão
343,0,7,22,../data/VAC0935728_1.txt,tarifa
344,0,1,0,../data/VAC0500288_1.txt,revisão
345,2,0,0,../data/VAC0971308_1.txt,indenização
346,3,0,0,../data/VAC0955939_1.txt,indenização
347,0,14,11,../data/VAC1050836_1.txt,revisão
348,18,1,2,../data/VAC1062929_1.txt,indenização
349,0,27,11,../data/VAC0883298_1.txt,revisão
350,0,4,9,../data/VAC1079893_1.txt,tarifa
351,0,20,3,../data/VAC0863893_1.txt,revisão
352,0,0,0,../data/VAC0288959_1.txt,
353,0,0,0,../data/VAC0303121_1.txt,
354,4,7,11,../data/VAC0962803_1.txt,tarifa
355,0,2,0,../data/VAC0582990_1.txt,revisão
356,0,3,10,../data/VAC0607337_1.txt,tarifa
357,1,33,6,../data/VAC0610205_1.txt,revisão
358,0,0,0,../data/VAC1069658_1.txt,
359,0,1,0,../data/VAC0403332_1.txt,revisão
360,0,4,7,../data/VAC0589645_1.txt,tarifa
361,0,0,0,../data/VAC0770766_2.txt,
362,15,0,0,../data/VAC0975456_1.txt,indenização
363,0,0,0,../data/VAC1016370_1.txt,
364,1,0,0,../data/VAC0811989_1.txt,indenização
365,30,4,0,../data/VAC0469196_1.txt,indenização
366,0,2,3,../data/VAC0808470_1.txt,tarifa
367,0,46,2,../data/VAC0660075_1.txt,revisão
368,0,23,40,../data/VAC0928102_1.txt,tarifa
369,1,0,0,../data/VAC1012671_1.txt,indenização
370,0,27,9,../data/VAC0895921_1.txt,revisão
371,0,0,0,../data/VAC0785360_1.txt,
372,6,0,0,../data/VAC0970826_1.txt,indenização
373,0,43,8,../data/VAC0865804_1.txt,revisão
374,3,0,0,../data/VAC0851713_1.txt,indenização
375,0,4,2,../data/VAC0964653_1.txt,revisão
376,0,0,0,../data/VAC0539867_2.txt,
377,0,14,1,../data/VAC0786785_1.txt,revisão
378,0,21,0,../data/VAC0880851_1.txt,revisão
379,0,18,30,../data/VAC0921925_1.txt,tarifa
380,0,0,5,../data/VAC0710058_1.txt,tarifa
381,0,2,22,../data/VAC0414486_1.txt,tarifa
382,2,51,10,../data/VAC0749777_1.txt,revisão
383,0,4,5,../data/VAC0350364_1.txt,tarifa
384,0,0,0,../data/VAC0537263_1.txt,
385,7,0,0,../data/VAC1011004_2.txt,indenização
386,0,0,0,../data/VAC0924903_1.txt,
387,0,31,5,../data/VAC1088804_1.txt,revisão
388,0,9,9,../data/VAC0869573_1.txt,
389,2,0,0,../data/VAC0931216_1.txt,indenização
390,0,0,0,../data/VAC0975620_1.txt,
391,0,19,0,../data/VAC0960625_1.txt,revisão
392,0,12,19,../data/VAC0885016_1.txt,tarifa
393,21,7,3,../data/VAC0995287_1.txt,indenização
394,0,0,0,../data/VAC0978236_1.txt,
395,6,0,1,../data/VAC0922029_1.txt,indenização
396,7,1,2,../data/VAC1024321_1.txt,indenização
397,0,6,17,../data/VAC0974428_1.txt,tarifa
398,0,14,2,../data/VAC1012723_1.txt,revisão
399,0,0,0,../data/VAC0780719_1.txt,
400,21,1,0,../data/VAC1005068_1.txt,indenização
401,0,0,0,../data/VAC0755085_1.txt,
402,0,35,9,../data/VAC0485175_1.txt,revisão
403,0,17,1,../data/VAC0674663_1.txt,revisão
404,0,0,0,../data/VAC0872822_1.txt,
405,0,4,18,../data/VAC0963528_1.txt,tarifa
406,0,0,0,../data/VAC1045716_1.txt,
407,3,6,10,../data/VAC0916004_1.txt,tarifa
408,1,0,4,../data/VAC0724690_1.txt,tarifa
409,0,9,14,../data/VAC0876303_1.txt,tarifa
410,0,34,6,../data/VAC0686102_1.txt,revisão
411,1,14,16,../data/VAC0946139_1.txt,tarifa
412,4,3,4,../data/VAC0782964_1.txt,
413,0,10,0,../data/VAC0642875_1.txt,revisão
414,0,0,0,../data/VAC0589861_1.txt,
415,0,0,0,../data/VAC0853251_1.txt,
416,0,0,0,../data/VAC1024983_1.txt,
417,0,0,9,../data/VAC0979458_1.txt,tarifa
418,3,0,0,../data/VAC0900776_1.txt,indenização
419,0,0,0,../data/VAC0925012_1.txt,
420,0,9,29,../data/VAC0896635_1.txt,tarifa
421,7,0,0,../data/VAC0430814_1.txt,indenização
422,0,1,0,../data/VAC1007274_1.txt,revisão
423,1,15,4,../data/VAC0856503_1.txt,revisão
